V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
0.27,0.004890498,0.000451942,0.000225136,0.000166577,0.45852501,0.37696115,0.297504513,0.349313789,3.290282186,2.59315185,2.052309926,2.210347013
0.79,0.005739254,0.000530378,0.000264208,0.000195487,0.244059667,0.17957689,0.138177362,0.150171191,3.290282186,2.59315185,2.052309926,2.210347013
0.92,0.004962445,0.000458591,0.000228448,0.000169028,0.200393578,0.14515254,0.111823652,0.121914441,3.290282186,2.59315185,2.052309926,2.210347013
0.72,0.005410957,0.000500039,0.000249095,0.000184304,0.246859908,0.181109497,0.147447228,0.156947645,3.290282186,2.59315185,2.052309926,2.210347013
0.28,0.005296596,0.000489471,0.00024383,0.000180409,0.468591442,0.382720396,0.308075461,0.358303111,3.290282186,2.59315185,2.052309926,2.210347013
0.87,0.005014061,0.000463361,0.000230824,0.000170786,0.282933903,0.21022246,0.163489668,0.176815504,3.290282186,2.59315185,2.052309926,2.210347013
0.92,0.005791348,0.000535192,0.000266606,0.000197261,0.253254791,0.186285146,0.151728502,0.162852009,3.290282186,2.59315185,2.052309926,2.210347013
0.5,0.005279067,0.000487851,0.000243023,0.000179812,0.230453912,0.175236393,0.132316763,0.144991649,3.290282186,2.59315185,2.052309926,2.210347013
0.84,0.005298444,0.000489641,0.000243915,0.000180472,0.238806775,0.175151896,0.13554825,0.147021787,3.290282186,2.59315185,2.052309926,2.210347013
0.62,0.005650146,0.000522143,0.000260106,0.000192452,0.197418479,0.145890557,0.117335039,0.126562007,3.290282186,2.59315185,2.052309926,2.210347013
0.29,0.005366614,0.000495941,0.000247054,0.000182794,0.403346562,0.321273739,0.262292936,0.298986867,3.290282186,2.59315185,2.052309926,2.210347013
0.6,0.005788541,0.000534932,0.000266477,0.000197165,0.237705502,0.178047768,0.143049569,0.154431108,3.290282186,2.59315185,2.052309926,2.210347013
0.83,0.005346964,0.000494125,0.000246149,0.000182125,0.273391253,0.202990157,0.156382686,0.169484228,3.290282186,2.59315185,2.052309926,2.210347013
0.61,0.00595058,0.000549907,0.000273937,0.000202685,0.237168645,0.175221468,0.142965883,0.153156307,3.290282186,2.59315185,2.052309926,2.210347013
0.53,0.005560631,0.000513871,0.000255985,0.000189403,0.273240648,0.211792644,0.161090619,0.177705728,3.290282186,2.59315185,2.052309926,2.210347013
0.89,0.005313273,0.000491012,0.000244598,0.000180977,0.227989701,0.16760755,0.128533202,0.139868062,3.290282186,2.59315185,2.052309926,2.210347013
0.94,0.005343268,0.000493784,0.000245979,0.000181999,0.222909256,0.164357315,0.128340547,0.139801029,3.290282186,2.59315185,2.052309926,2.210347013
0.54,0.005184536,0.000479115,0.000238672,0.000176592,0.274565613,0.212641205,0.160871612,0.177157536,3.290282186,2.59315185,2.052309926,2.210347013
0.51,0.005275576,0.000487528,0.000242863,0.000179693,0.237301329,0.181474066,0.137504141,0.151279136,3.290282186,2.59315185,2.052309926,2.210347013
0.65,0.005652329,0.000522345,0.000260207,0.000192526,0.238452556,0.176167857,0.14361764,0.153566145,3.290282186,2.59315185,2.052309926,2.210347013
0.45,0.005211055,0.000481566,0.000239892,0.000177496,0.271658694,0.204299891,0.158205203,0.170706253,3.290282186,2.59315185,2.052309926,2.210347013
0.53,0.004807472,0.00044427,0.000221313,0.000163749,0.29627721,0.229136705,0.173683173,0.190449865,3.290282186,2.59315185,2.052309926,2.210347013
0.25,0.004826908,0.000446066,0.000222208,0.000164411,0.598449889,0.500019292,0.390173704,0.46271409,3.290282186,2.59315185,2.052309926,2.210347013
0.33,0.00559922,0.000517437,0.000257762,0.000190717,0.240550443,0.178097503,0.148585319,0.161110405,3.290282186,2.59315185,2.052309926,2.210347013
0.93,0.005718953,0.000528502,0.000263274,0.000194795,0.226160448,0.165272504,0.134276314,0.144486106,3.290282186,2.59315185,2.052309926,2.210347013
0.61,0.005411467,0.000500086,0.000249119,0.000184322,0.238041376,0.181057665,0.141966763,0.154861061,3.290282186,2.59315185,2.052309926,2.210347013
0.55,0.00532903,0.000492468,0.000245323,0.000181514,0.277368501,0.215141531,0.163600514,0.180266071,3.290282186,2.59315185,2.052309926,2.210347013
0.49,0.005270981,0.000487104,0.000242651,0.000179537,0.26114514,0.201875662,0.152843352,0.168650807,3.290282186,2.59315185,2.052309926,2.210347013
