V1,V2,V3,V4,V5,V6,V7,V8,V9,Y1,Y2,Y3,Y
0.093333333,0.292096102,0.292096102,0.292096102,0.292096102,0.195565602,0.19949145,0.19953199,0.201538364,1,0,0,1
0.786666667,0.631495752,0.631495752,0.631495752,0.631495752,0.049256405,0.045639251,0.040477778,0.03768999,0,0,0,0
0.96,0.320865999,0.320865999,0.320865999,0.320865999,0.019467208,0.018807011,0.014169214,0.01444121,1,1,0,3
0.693333333,0.500216654,0.500216654,0.500216654,0.500216654,0.051166742,0.04683385,0.049731764,0.043265448,1,1,0,3
0.106666667,0.454486115,0.454486115,0.454486115,0.454486115,0.202432967,0.203980525,0.210084829,0.208934499,1,1,1,7
0.893333333,0.341506062,0.341506062,0.341506062,0.341506062,0.07577658,0.069526102,0.065746723,0.059612107,1,0,1,5
0.96,0.652326988,0.652326988,0.652326988,0.652326988,0.055529359,0.050868037,0.054005704,0.048123375,0,0,1,4
0.4,0.4474768,0.4474768,0.4474768,0.4474768,0.039974499,0.042256028,0.034627219,0.033428424,1,1,0,3
0.853333333,0.455225009,0.455225009,0.455225009,0.455225009,0.04567286,0.042190167,0.03785317,0.035098759,1,0,0,1
0.56,0.595863406,0.595863406,0.595863406,0.595863406,0.017437582,0.019382263,0.01967116,0.018265084,0,1,0,2
0.12,0.482484998,0.482484998,0.482484998,0.482484998,0.157922623,0.156085606,0.164380733,0.160130928,1,1,1,7
0.533333333,0.651204517,0.651204517,0.651204517,0.651204517,0.044921566,0.044447369,0.045341639,0.041194919,0,1,0,2
0.84,0.47462702,0.47462702,0.47462702,0.47462702,0.069266542,0.063888845,0.058651915,0.05358016,0,0,1,4
0.546666667,0.716000519,0.716000519,0.716000519,0.716000519,0.04455532,0.042244395,0.045258097,0.040146052,0,1,0,2
0.44,0.560068258,0.560068258,0.560068258,0.560068258,0.069163799,0.07074999,0.063351783,0.060344556,0,1,1,6
0.92,0.461154879,0.461154879,0.461154879,0.461154879,0.038293404,0.036309687,0.03085014,0.029212895,1,1,0,3
0.986666667,0.473149427,0.473149427,0.473149427,0.473149427,0.034827502,0.033776274,0.030657815,0.029157742,1,0,0,1
0.453333333,0.409675515,0.409675515,0.409675515,0.409675515,0.070067695,0.071411406,0.063133152,0.059893521,1,1,1,7
0.413333333,0.446080729,0.446080729,0.446080729,0.446080729,0.044645838,0.047118015,0.039805711,0.038601573,1,1,0,3
0.6,0.596736183,0.596736183,0.596736183,0.596736183,0.04543121,0.042982063,0.045908737,0.040483254,0,1,0,2
0.333333333,0.420280033,0.420280033,0.420280033,0.420280033,0.068084582,0.064909725,0.06047131,0.054585605,1,1,0,3
0.44,0.258895514,0.258895514,0.258895514,0.258895514,0.084879442,0.08426891,0.075922765,0.070830039,1,0,1,5
0.066666667,0.26666748,0.26666748,0.26666748,0.26666748,0.291022968,0.295409766,0.292042431,0.294840625,1,0,0,1
0.173333333,0.575499188,0.575499188,0.575499188,0.575499188,0.046862397,0.044486136,0.050867906,0.046690438,0,1,0,2
0.973333333,0.623377819,0.623377819,0.623377819,0.623377819,0.037045479,0.034489623,0.036583413,0.033012479,0,0,0,0
0.546666667,0.500420625,0.500420625,0.500420625,0.500420625,0.045150701,0.04679345,0.044260688,0.041548671,1,1,0,3
0.466666667,0.467455719,0.467455719,0.467455719,0.467455719,0.071979838,0.073360298,0.065857378,0.062451127,1,1,1,7
0.386666667,0.444243169,0.444243169,0.444243169,0.444243169,0.06091219,0.063020147,0.055118644,0.052894448,0,0,0,0
0.613333333,0.506263977,0.506263977,0.506263977,0.506263977,0.06376987,0.059746457,0.062956923,0.055634063,0,1,1,6
0.48,0.181257972,0.181257972,0.181257972,0.181257972,0.049688401,0.052285863,0.046010048,0.044184486,1,0,0,1
0.693333333,0.379638025,0.379638025,0.379638025,0.379638025,0.036089981,0.033330479,0.035771762,0.03122401,1,0,0,1
