V_PCA1,V_PCA2,V_PCA3,V_PCA4,V_PCA5,V_PCA6
-0.460428276,-0.394585431,-0.091821241,0.005308241,0.003845208,-0.000883162
0.290026977,0.266868233,0.102916722,-0.002744754,0.00081272,-0.001121637
0.449159223,-0.358588565,0.150657903,0.003937866,0.002967022,-0.001304908
0.20627133,0.007078092,0.046139611,0.002531487,-0.002289696,0.000517234
-0.453406713,-0.070494503,-0.063652379,0.007353542,0.000609711,4.00E-05
0.334874246,-0.316450487,0.191596509,-0.003169804,-0.002353238,-3.85E-04
0.416973521,0.303287753,0.223906193,0.003904954,-0.002495634,0.000704223
-0.015099978,-0.089598744,-0.151887136,-0.002421214,0.004798268,-0.000205502
0.340594327,-0.087381832,0.129629785,-0.000631915,0.000567313,-0.001035555
0.139489993,0.202775056,-0.076309129,0.005572173,0.003265972,0.000337661
-0.384762084,-0.013948302,-0.128009092,0.006092277,-0.001908015,1.98E-05
0.089351524,0.31365376,-0.049715886,0.002530841,0.000931032,0.000773337
0.304871895,-0.048652163,0.155944734,-0.004326432,-0.001110567,-0.000643591
0.103204153,0.44281557,-0.039670172,0.002798184,-0.000571994,0.000562073
-0.014311269,0.133720961,-0.076765699,-0.00414182,0.003569431,0.000706253
0.401521428,-0.077335922,0.160328352,0.000237734,0.00183178,-0.000859267
0.456551655,-0.055263217,0.19920826,0.003537212,0.001827175,-0.000286679
-0.009071373,-0.16731571,-0.076088734,-0.004553317,0.003413987,0.000624332
-0.010680663,-0.092880194,-0.135947424,-0.001956574,0.004759354,-5.61E-05
0.140605117,0.202832532,-0.012262605,0.003291665,-0.000876911,0.0006982
-0.098607619,-0.142532234,-0.155374783,-0.005709127,-5.53E-05,-0.000199061
-0.040366353,-0.468612164,-0.071751945,-0.006384581,0.001680007,6.33E-04
-0.597664934,-0.44659764,0.039792369,0.001821542,0.004005209,-0.00086066
-0.20198937,0.172755676,-0.268457836,0.004846918,-0.000634535,-0.000659556
0.447137415,0.245379815,0.203892694,0.005810914,-0.000422771,0.000361256
0.094283624,0.011828914,-0.048673095,0.001959409,0.002874203,0.000822237
0.000614577,-0.052245333,-0.061321486,-0.004053673,0.003236615,0.000826684
-0.050711362,-0.096098588,-0.127898402,-0.003640809,0.004219729,0.000307653
0.127561787,0.021235004,0.017795752,0.001871906,-0.002544079,0.001025044
